epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.74169,1.29517,4.5636,1.63329,0.3811,0.56667,0.3212,0.27554,0.69335,3.80487,1.07579,0.09804,4e-05,4e-05
2,4.0222,1.21844,4.62516,1.48182,0.49308,0.34014,0.3215,0.2707,0.70319,3.85179,1.07113,0.0951,9.99939e-05,9.99939e-05
3,5.3657,1.37689,4.29251,1.73737,0.76798,0.5469,0.6417,0.50999,0.49024,6.00103,0.99844,0.09216,0.000159961,0.000159961
4,7.14804,0.84781,2.9567,1.30874,0.54301,0.56667,0.57741,0.46257,0.75314,8.38632,1.20131,0.0892199,0.000219879,0.000219879
5,8.64452,0.86585,1.98312,1.31751,0.21512,0.36667,0.20691,0.12294,2.11598,7.75146,2.64366,0.0862797,0.000279727,0.000279727
6,10.0727,0.93316,1.75437,1.31331,0.05438,0.3,0.07165,0.03252,2.62518,49.1585,3.59046,0.0833395,0.000339481,0.000339481
7,11.5279,1.02383,1.5319,1.43412,0.27129,0.16667,0.15898,0.05701,3.27231,21.3836,4.34274,0.0803991,0.000399121,0.000399121
8,12.9862,0.83557,1.31131,1.23132,0.27778,0.16667,0.1392,0.07852,2.77746,81.7699,4.4279,0.0774586,0.000458625,0.000458625
9,14.409,1.14355,1.42422,1.41328,0.61874,0.23333,0.2403,0.10043,2.51562,10.1224,3.27948,0.074518,0.00051797,0.00051797
10,15.8456,0.83131,1.00592,1.16656,0.27114,0.15841,0.1097,0.03537,3.16565,11.1229,4.832,0.0715771,0.000577136,0.000577136
11,17.2643,0.78559,1.01026,1.12995,0.215,0.26667,0.10344,0.0515,3.13981,29.751,5.52651,0.0686361,0.0006361,0.0006361
12,18.7194,0.91058,1.06366,1.24342,0.09388,0.1,0.04793,0.01477,3.17521,17.6673,6.22085,0.0656948,0.00069484,0.00069484
13,20.1456,0.90251,1.14057,1.24789,0.44614,0.36667,0.1994,0.07139,2.72913,12.4865,4.84805,0.0627533,0.000753336,0.000753336
14,21.565,1.13728,1.12145,1.55813,0.20579,0.53333,0.20004,0.08297,1.95362,31.3843,2.76252,0.0598116,0.000811567,0.000811567
15,22.9932,1.06665,1.33915,1.34917,0.37424,0.36667,0.17162,0.07327,2.49538,50.4336,4.71502,0.0568695,0.000869509,0.000869509
16,24.3998,1.0562,1.25692,1.32106,0.08205,0.53333,0.09061,0.05112,2.17177,81.6722,4.51919,0.0539271,0.000927144,0.000927144
17,25.8195,0.98155,1.09258,1.26521,0.15918,0.66667,0.1742,0.07196,2.1403,49.8831,3.88718,0.0509844,0.000984449,0.000984449
18,27.3675,1.01727,1.02924,1.27221,0.22895,0.2,0.1784,0.10013,2.46122,29.9288,4.53157,0.0480414,0.0010414,0.0010414
19,28.7859,0.99974,1.11888,1.28904,0.13652,0.26667,0.1737,0.08096,2.68966,18.8091,4.87568,0.045098,0.00109799,0.00109799
20,30.1946,0.89065,0.94333,1.25647,0.26641,0.4,0.24426,0.07909,2.79286,8.99367,4.56064,0.0421542,0.00115418,0.00115418
21,31.5928,0.98738,1.10547,1.29172,0.2359,0.5,0.19093,0.07949,2.61953,10.8584,4.46649,0.03921,0.00120996,0.00120996
22,33.0309,0.93894,1.0528,1.17423,0.10595,0.46667,0.11475,0.04898,2.66117,25.0329,4.33995,0.0362653,0.00126531,0.00126531
23,34.4007,1.01582,1.09321,1.26338,0.21838,0.4,0.09524,0.01751,2.84496,21.6909,4.02411,0.0333202,0.0013202,0.0013202
24,35.8097,0.93767,1.00443,1.20543,0.06988,0.4,0.10013,0.04787,2.83789,49.9252,3.20052,0.0303746,0.00137462,0.00137462
25,37.1925,0.98439,1.053,1.3176,0.11206,0.46667,0.12995,0.06078,2.74101,33.8448,3.12813,0.0274286,0.00142855,0.00142855
26,38.6032,1.04403,1.07848,1.34361,0.65625,0.16667,0.11963,0.06729,2.5757,11.633,3.72993,0.024482,0.00148197,0.00148197
27,39.981,0.81575,0.81262,1.09917,0.66667,0.1,0.11898,0.0496,2.57388,9.07768,3.7373,0.0215349,0.00153486,0.00153486
28,41.3844,0.94125,0.92814,1.23535,0.54771,0.1,0.02091,0.00498,2.96203,6.32009,4.27477,0.0185872,0.0015872,0.0015872
29,42.8215,0.88844,1.07353,1.21046,0.52456,0.1,0.01152,0.00279,3.07033,6.52471,4.18796,0.015639,0.00163897,0.00163897
30,44.2037,0.91538,0.87283,1.22215,0.21383,0.1,0.0384,0.01243,3.25577,8.36294,5.55625,0.0126902,0.00169015,0.00169015
31,45.5801,0.93003,0.97942,1.20991,0.0671,0.1,0.02737,0.01196,3.48257,7.53473,6.88281,0.00974073,0.00174073,0.00174073
32,47.029,0.90639,0.95711,1.26173,0.52382,0.06667,0.00774,0.00149,3.932,9.00756,8.43405,0.00679068,0.00179068,0.00179068
33,48.4122,0.84734,0.86349,1.16261,0.01056,0.03333,0.00302,0.00053,3.6773,7.78563,5.99196,0.00383999,0.00183999,0.00183999
