epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.0732,0.8485,3.26355,1.15978,0.00346,0.96667,0.18328,0.13683,0.54266,2.8925,0.9294,0.09802,2e-05,2e-05
2,1.61397,0.8305,3.29247,1.09907,0.00351,0.96667,0.30145,0.27039,0.44544,2.81499,0.94644,0.09505,4.99878e-05,4.99878e-05
3,2.28585,0.73704,2.83773,1.1287,0.00358,0.96667,0.46248,0.32145,0.86341,2.81032,1.11108,0.0920799,7.99219e-05,7.99219e-05
4,2.88185,0.7257,2.24826,1.03932,0.00333,0.9,0.43202,0.33871,0.88543,2.8059,1.25876,0.0891098,0.000109758,0.000109758
5,3.46177,0.6326,1.7147,0.99215,0.00413,0.9,0.39828,0.31542,1.07156,2.86625,1.40014,0.0861395,0.000139454,0.000139454
6,4.06914,0.67405,1.46805,1.03257,0.00355,0.76667,0.24737,0.19373,1.71741,3.24363,1.87063,0.083169,0.000168964,0.000168964
7,4.63924,0.76626,1.59472,1.07938,0.00123,0.23333,0.07797,0.01681,2.12927,4.09483,2.56272,0.0801982,0.000198246,0.000198246
8,5.30821,0.71081,1.27973,1.00979,0,0,0,0,2.13135,4.40352,2.80264,0.0772273,0.000227258,0.000227258
9,5.90766,0.76858,0.99224,1.07491,0.00025,0.03333,0.00014,3e-05,2.24912,4.40432,2.89646,0.074256,0.000255957,0.000255957
10,6.47601,0.65566,0.86413,1.03063,0.00102,0.13333,0.03317,0.01964,2.29485,4.43316,2.94483,0.0712843,0.0002843,0.0002843
11,7.07682,0.62416,0.84426,0.96662,0.16794,0.23333,0.12407,0.10403,1.84874,4.28424,2.45661,0.0683122,0.000312247,0.000312247
12,7.63997,0.92852,0.91915,1.25027,0.21691,0.5,0.40307,0.24435,1.57064,3.85078,1.96048,0.0653398,0.000339758,0.000339758
13,8.23769,0.66468,0.88771,1.00943,0.19354,0.56667,0.44229,0.28884,1.26534,3.64262,1.61009,0.0623668,0.000366791,0.000366791
14,8.80734,0.82262,0.88932,1.18747,0.50633,0.46667,0.36587,0.24622,1.49182,4.15951,1.92921,0.0593933,0.000393308,0.000393308
15,9.38468,0.65311,0.76895,1.02314,0.53111,0.03333,0.00843,0.00413,1.60959,4.72649,2.31573,0.0564193,0.000419271,0.000419271
16,9.9661,0.66669,0.77022,1.03947,0.00967,0.33333,0.01763,0.01069,1.61152,4.58008,2.32751,0.0534446,0.000444643,0.000444643
17,10.5215,0.72564,0.83195,1.04472,0.02815,0.5,0.07265,0.05101,1.47432,4.40566,2.05684,0.0504694,0.000469386,0.000469386
18,11.1723,0.61631,0.72983,0.98998,0.07763,0.5,0.20768,0.153,1.21289,3.88299,1.61839,0.0474935,0.000493466,0.000493466
19,11.7125,0.68248,0.75939,1.0004,0.17589,0.6,0.32163,0.25805,1.05098,3.62503,1.44723,0.0445168,0.000516848,0.000516848
20,12.3168,0.68605,0.70225,1.06653,0.58476,0.32483,0.44818,0.36605,0.80704,3.13951,1.18437,0.0415395,0.000539499,0.000539499
21,12.8837,0.59479,0.69881,0.98454,0.8266,0.34426,0.53644,0.4627,0.80318,2.97092,1.19621,0.0385614,0.000561387,0.000561387
22,13.4637,0.61245,0.64386,0.95822,0.7652,0.446,0.66973,0.5399,0.93167,2.552,1.27383,0.0355825,0.000582482,0.000582482
23,14.0229,0.64332,0.62855,1.00032,0.62181,0.52777,0.68607,0.53579,0.89682,2.35855,1.26351,0.0326028,0.000602755,0.000602755
24,14.5866,0.67493,0.67684,0.98201,0.4773,0.53333,0.53515,0.39488,1.03575,2.35873,1.38872,0.0296222,0.000622177,0.000622177
25,15.1406,0.60011,0.62372,0.93134,0.58828,0.4907,0.50738,0.39594,1.02244,2.36115,1.30179,0.0266407,0.000640721,0.000640721
26,15.7022,0.64666,0.65675,1.00412,0.7269,0.61557,0.65683,0.51198,0.98945,2.04678,1.21026,0.0236584,0.000658364,0.000658364
27,16.2658,0.60722,0.65797,1.00384,0.74007,0.56667,0.6896,0.52142,1.05385,2.035,1.21783,0.0206751,0.000675081,0.000675081
28,16.8349,0.57274,0.62594,0.96298,0.90225,0.51119,0.69351,0.53479,1.15354,2.17239,1.30301,0.0176908,0.00069085,0.00069085
29,17.3863,0.62108,0.64313,1.01886,0.7918,0.5489,0.70224,0.56487,1.14705,2.05298,1.2981,0.0147057,0.000705651,0.000705651
30,17.9952,0.66285,0.67628,0.95383,0.77305,0.70995,0.73467,0.54757,1.10792,1.49995,1.38949,0.0117195,0.000719466,0.000719466
31,18.5588,0.62506,0.66459,0.98352,0.77455,0.70515,0.75396,0.58144,0.95068,1.33031,1.26834,0.00873228,0.000732277,0.000732277
32,19.1758,0.60025,0.67862,0.95645,0.65583,0.63333,0.69115,0.49507,0.96262,1.31099,1.30908,0.00574407,0.00074407,0.00074407
33,19.7545,0.71696,0.70039,1.08855,0.58366,0.53644,0.58716,0.3987,1.19865,1.62815,1.45779,0.00275483,0.00075483,0.00075483
34,20.4603,0.58488,0.56696,0.98148,0.95735,0.46528,0.6614,0.45757,1.19523,1.99322,1.64124,0.000756976,0.000756976,0.000756976
35,21.0533,0.51559,0.57339,0.92872,0.80659,0.60843,0.67821,0.50427,1.075,1.77402,1.53164,0.000743468,0.000743468,0.000743468
36,21.6244,0.54321,0.63661,0.94563,0.65427,0.65027,0.6787,0.57933,0.90142,1.29626,1.23688,0.000729725,0.000729725,0.000729725
37,22.1693,0.59424,0.56971,0.95437,0.78774,0.73333,0.79743,0.61187,0.96445,0.91134,1.24237,0.000715761,0.000715761,0.000715761
38,22.7397,0.60308,0.58543,1.00948,0.91955,0.85491,0.907,0.70813,0.76601,0.78823,1.05694,0.000701588,0.000701588,0.000701588
39,23.2981,0.64373,0.61016,1.01994,0.90136,0.82415,0.89395,0.71627,0.77987,0.85276,1.05824,0.000687222,0.000687222,0.000687222
40,23.8655,0.57007,0.64669,1.02019,0.94425,0.79455,0.87336,0.69753,0.8515,0.81315,1.11883,0.000672675,0.000672675,0.000672675
41,24.4219,0.56275,0.53778,0.99477,0.89303,0.85147,0.89147,0.71463,0.82923,0.82384,1.08653,0.000657963,0.000657963,0.000657963
42,25.0249,0.52545,0.52039,0.94705,0.97736,0.81108,0.92933,0.76658,0.70386,0.68766,1.02033,0.000643101,0.000643101,0.000643101
43,25.6326,0.63924,0.65692,1.00592,0.86636,0.95689,0.9316,0.77081,0.65717,0.61473,1.00303,0.000628101,0.000628101,0.000628101
44,26.2284,0.5342,0.52852,0.96654,0.95605,0.85958,0.94328,0.78239,0.61927,0.63055,0.9741,0.000612981,0.000612981,0.000612981
45,26.7842,0.47763,0.4836,0.92863,0.89959,0.88889,0.95208,0.76372,0.61451,0.68562,0.9872,0.000597754,0.000597754,0.000597754
46,27.3637,0.5521,0.51195,0.93348,0.8112,0.92421,0.92821,0.74004,0.63326,0.81454,1.00807,0.000582435,0.000582435,0.000582435
47,27.9303,0.51274,0.55837,0.96851,0.88098,0.84647,0.932,0.76151,0.62472,0.82976,1.00584,0.00056704,0.00056704,0.00056704
48,28.5115,0.49191,0.54483,0.93756,0.86125,0.86667,0.93769,0.76956,0.65867,0.72734,0.99286,0.000551584,0.000551584,0.000551584
